score	tpr	fpr	tp	tn	fp	fn
-56.7360	0.9597	0.3223	143.0000	1207.0000	574.0000	6.0000
-56.6072	0.9597	0.3127	143.0000	1224.0000	557.0000	6.0000
-56.4783	0.9597	0.2538	143.0000	1329.0000	452.0000	6.0000
-56.3495	0.8389	0.2212	125.0000	1387.0000	394.0000	24.0000
-56.2207	0.8389	0.2106	125.0000	1406.0000	375.0000	24.0000
-56.0919	0.8389	0.1830	125.0000	1455.0000	326.0000	24.0000
-55.9631	0.8389	0.1696	125.0000	1479.0000	302.0000	24.0000
-55.8343	0.6846	0.1578	102.0000	1500.0000	281.0000	47.0000
-55.7055	0.6846	0.1454	102.0000	1522.0000	259.0000	47.0000
-55.5767	0.6846	0.1376	102.0000	1536.0000	245.0000	47.0000
-55.4479	0.6846	0.1235	102.0000	1561.0000	220.0000	47.0000
-55.3191	0.6846	0.1106	102.0000	1584.0000	197.0000	47.0000
-55.1903	0.5235	0.1044	78.0000	1595.0000	186.0000	71.0000
-55.0615	0.5235	0.0955	78.0000	1611.0000	170.0000	71.0000
-54.9327	0.5235	0.0848	78.0000	1630.0000	151.0000	71.0000
-54.8039	0.5235	0.0758	78.0000	1646.0000	135.0000	71.0000
-54.6751	0.5235	0.0702	78.0000	1656.0000	125.0000	71.0000
-54.5463	0.3221	0.0657	48.0000	1664.0000	117.0000	101.0000
-54.4175	0.3221	0.0606	48.0000	1673.0000	108.0000	101.0000
-54.2887	0.3221	0.0567	48.0000	1680.0000	101.0000	101.0000
-54.1599	0.3221	0.0505	48.0000	1691.0000	90.0000	101.0000
-54.0311	0.2081	0.0483	31.0000	1695.0000	86.0000	118.0000
-53.9023	0.2081	0.0432	31.0000	1704.0000	77.0000	118.0000
-53.7735	0.2081	0.0376	31.0000	1714.0000	67.0000	118.0000
-53.6447	0.2081	0.0320	31.0000	1724.0000	57.0000	118.0000
-53.5159	0.2081	0.0281	31.0000	1731.0000	50.0000	118.0000
-53.3871	0.1208	0.0241	18.0000	1738.0000	43.0000	131.0000
-53.2583	0.1208	0.0219	18.0000	1742.0000	39.0000	131.0000
-53.1295	0.1208	0.0185	18.0000	1748.0000	33.0000	131.0000
-53.0007	0.1208	0.0168	18.0000	1751.0000	30.0000	131.0000
-52.8719	0.1208	0.0140	18.0000	1756.0000	25.0000	131.0000
-52.7431	0.0268	0.0129	4.0000	1758.0000	23.0000	145.0000
-52.6143	0.0268	0.0124	4.0000	1759.0000	22.0000	145.0000
-52.4855	0.0268	0.0101	4.0000	1763.0000	18.0000	145.0000
-52.3567	0.0268	0.0090	4.0000	1765.0000	16.0000	145.0000
-52.2279	0.0201	0.0090	3.0000	1765.0000	16.0000	146.0000
-52.0991	0.0201	0.0073	3.0000	1768.0000	13.0000	146.0000
-51.9703	0.0201	0.0073	3.0000	1768.0000	13.0000	146.0000
-51.8415	0.0201	0.0056	3.0000	1771.0000	10.0000	146.0000
-51.7127	0.0201	0.0051	3.0000	1772.0000	9.0000	146.0000
-51.5839	0.0000	0.0051	0.0000	1772.0000	9.0000	149.0000
-51.4551	0.0000	0.0045	0.0000	1773.0000	8.0000	149.0000
-51.3263	0.0000	0.0039	0.0000	1774.0000	7.0000	149.0000
-51.1975	0.0000	0.0034	0.0000	1775.0000	6.0000	149.0000
-51.0687	0.0000	0.0022	0.0000	1777.0000	4.0000	149.0000
-50.9399	0.0000	0.0022	0.0000	1777.0000	4.0000	149.0000
-50.8111	0.0000	0.0022	0.0000	1777.0000	4.0000	149.0000
-50.6823	0.0000	0.0022	0.0000	1777.0000	4.0000	149.0000
-50.5535	0.0000	0.0022	0.0000	1777.0000	4.0000	149.0000
-50.4247	0.0000	0.0022	0.0000	1777.0000	4.0000	149.0000
-50.2959	0.0000	0.0022	0.0000	1777.0000	4.0000	149.0000
-50.1671	0.0000	0.0017	0.0000	1778.0000	3.0000	149.0000
-50.0383	0.0000	0.0011	0.0000	1779.0000	2.0000	149.0000
-49.9095	0.0000	0.0011	0.0000	1779.0000	2.0000	149.0000
-49.7807	0.0000	0.0011	0.0000	1779.0000	2.0000	149.0000
-49.6519	0.0000	0.0011	0.0000	1779.0000	2.0000	149.0000
-49.5231	0.0000	0.0011	0.0000	1779.0000	2.0000	149.0000
-49.3943	0.0000	0.0011	0.0000	1779.0000	2.0000	149.0000
-49.2655	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-49.1367	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-49.0079	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-48.8791	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-48.7503	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-48.6215	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-48.4927	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-48.3638	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-48.2350	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-48.1062	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-47.9774	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-47.8486	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-47.7198	0.0000	0.0006	0.0000	1780.0000	1.0000	149.0000
-47.5910	0.0000	0.0000	0.0000	1781.0000	0.0000	149.0000
